device_id,timestamp,cpu_utilization,memory_utilization,error_count,uptime_flag
DEV-001,2025-01-03 10:00:00,38.36,52.93,0,1
DEV-001,2025-01-03 11:00:00,31.53,62.3,0,1
DEV-001,2025-01-03 12:00:00,33.73,53.36,0,1
DEV-001,2025-01-03 13:00:00,42.31,61.08,0,1
DEV-001,2025-01-03 14:00:00,33.15,59.74,0,1
DEV-001,2025-01-03 15:00:00,33.04,54.94,1,1
DEV-001,2025-01-03 16:00:00,38.87,63.15,0,1
DEV-001,2025-01-03 17:00:00,51.16,59.48,0,1
DEV-001,2025-01-03 18:00:00,40.62,54.73,0,1
DEV-001,2025-01-03 19:00:00,37.7,58.33,0,1
DEV-001,2025-01-03 20:00:00,36.37,62.58,0,1
DEV-001,2025-01-03 21:00:00,36.87,62.72,2,1
DEV-001,2025-01-03 22:00:00,33.26,51.44,0,1
DEV-001,2025-01-03 23:00:00,32.86,56.45,0,1
DEV-001,2025-01-04 00:00:00,38.36,60.94,0,1
DEV-001,2025-01-04 01:00:00,38.65,54.97,1,1
DEV-001,2025-01-04 02:00:00,42.78,59.27,0,1
DEV-001,2025-01-04 03:00:00,42.91,64.28,0,1
DEV-001,2025-01-04 04:00:00,42.02,55.99,0,1
DEV-001,2025-01-04 05:00:00,40.07,78.28,0,1
DEV-001,2025-01-04 06:00:00,44.15,63.96,0,1
DEV-001,2025-01-04 07:00:00,35.91,62.81,0,1
DEV-001,2025-01-04 08:00:00,38.32,54.73,0,1
DEV-001,2025-01-04 09:00:00,49.06,49.68,0,1
DEV-001,2025-01-04 10:00:00,35.42,59.42,0,1
DEV-001,2025-01-04 11:00:00,35.13,64.46,0,1
DEV-001,2025-01-04 12:00:00,45.29,59.66,0,1
DEV-001,2025-01-04 13:00:00,33.84,60.1,0,1
DEV-001,2025-01-04 14:00:00,49.44,68.23,0,1
DEV-001,2025-01-04 15:00:00,27.37,59.95,0,1
DEV-001,2025-01-04 16:00:00,35.27,50.67,0,1
DEV-001,2025-01-04 17:00:00,40.02,63.34,0,1
DEV-001,2025-01-04 18:00:00,35.82,57.43,0,1
DEV-001,2025-01-04 19:00:00,46.32,61.04,0,1
DEV-001,2025-01-04 20:00:00,39.38,67.27,0,1
DEV-001,2025-01-04 21:00:00,29.89,56.59,0,1
DEV-001,2025-01-04 22:00:00,36.3,68.37,0,1
DEV-001,2025-01-04 23:00:00,21.28,53.89,0,1
DEV-001,2025-01-05 00:00:00,27.52,52.51,0,1
DEV-001,2025-01-05 01:00:00,35.29,59.67,0,1
DEV-001,2025-01-05 02:00:00,37.78,70.75,0,1
DEV-001,2025-01-05 03:00:00,32.58,61.32,0,1
DEV-001,2025-01-05 04:00:00,36.48,59.32,0,1
DEV-001,2025-01-05 05:00:00,38.06,62.32,0,1
DEV-001,2025-01-05 06:00:00,34.42,69.57,0,1
DEV-001,2025-01-05 07:00:00,36.73,61.96,1,1
DEV-001,2025-01-05 08:00:00,38.9,55.9,0,1
DEV-001,2025-01-05 09:00:00,41.92,56.69,0,1
DEV-001,2025-01-05 10:00:00,34.54,63.26,0,1
DEV-001,2025-01-05 11:00:00,42.25,66.28,0,1
DEV-001,2025-01-05 12:00:00,41.56,62.16,0,1
DEV-001,2025-01-05 13:00:00,40.25,55.46,0,1
DEV-001,2025-01-05 14:00:00,37.39,59.6,0,1
DEV-001,2025-01-05 15:00:00,34.14,64.82,1,1
DEV-001,2025-01-05 16:00:00,45.26,56.82,0,1
DEV-001,2025-01-05 17:00:00,44.02,59.12,0,1
DEV-001,2025-01-05 18:00:00,36.29,63.28,0,1
DEV-001,2025-01-05 19:00:00,39.11,58.36,1,1
DEV-001,2025-01-05 20:00:00,33.4,69.48,0,1
DEV-001,2025-01-05 21:00:00,43.52,53.03,0,1
DEV-001,2025-01-05 22:00:00,40.61,62.16,0,1
DEV-001,2025-01-05 23:00:00,34.0,58.97,0,1
DEV-001,2025-01-06 00:00:00,42.37,58.28,0,1
DEV-001,2025-01-06 01:00:00,40.56,65.8,0,1
DEV-001,2025-01-06 02:00:00,38.72,56.48,0,1
DEV-001,2025-01-06 03:00:00,40.29,63.38,0,1
DEV-001,2025-01-06 04:00:00,30.25,51.98,0,1
DEV-001,2025-01-06 05:00:00,34.17,65.81,0,1
DEV-001,2025-01-06 06:00:00,39.05,66.39,0,1
DEV-001,2025-01-06 07:00:00,35.98,58.99,0,1
DEV-001,2025-01-06 08:00:00,39.1,54.88,0,1
DEV-001,2025-01-06 09:00:00,39.95,59.46,0,1
DEV-001,2025-01-06 10:00:00,40.94,57.01,0,1
DEV-001,2025-01-06 11:00:00,37.84,63.93,1,1
DEV-001,2025-01-06 12:00:00,39.86,59.29,0,1
DEV-001,2025-01-06 13:00:00,44.75,63.81,0,1
DEV-001,2025-01-06 14:00:00,43.49,68.09,0,1
DEV-001,2025-01-06 15:00:00,48.44,54.97,0,1
DEV-001,2025-01-06 16:00:00,36.7,52.24,0,1
DEV-001,2025-01-06 17:00:00,33.7,59.77,2,1
DEV-001,2025-01-06 18:00:00,27.93,60.83,0,1
DEV-001,2025-01-06 19:00:00,33.0,61.47,1,1
DEV-001,2025-01-06 20:00:00,30.89,68.17,1,1
DEV-001,2025-01-06 21:00:00,43.39,56.67,1,1
DEV-001,2025-01-06 22:00:00,28.93,65.78,1,1
DEV-001,2025-01-06 23:00:00,36.92,65.2,0,1
DEV-001,2025-01-07 00:00:00,36.95,58.74,0,1
DEV-001,2025-01-07 01:00:00,37.52,59.25,0,1
DEV-001,2025-01-07 02:00:00,35.93,51.02,0,1
DEV-001,2025-01-07 03:00:00,38.09,61.59,0,1
DEV-001,2025-01-07 04:00:00,42.79,66.72,0,1
DEV-001,2025-01-07 05:00:00,39.15,55.27,0,1
DEV-001,2025-01-07 06:00:00,38.07,66.77,0,1
DEV-001,2025-01-07 07:00:00,47.79,67.79,0,1
DEV-001,2025-01-07 08:00:00,32.39,57.67,0,1
DEV-001,2025-01-07 09:00:00,40.72,65.86,0,1
DEV-001,2025-01-07 10:00:00,35.32,57.3,0,1
DEV-001,2025-01-07 11:00:00,42.78,50.22,0,1
DEV-001,2025-01-07 12:00:00,41.92,58.33,0,1
DEV-001,2025-01-07 13:00:00,45.0,59.38,0,1
DEV-001,2025-01-07 14:00:00,42.4,60.67,1,1
DEV-001,2025-01-07 15:00:00,37.42,63.0,0,1
DEV-001,2025-01-07 16:00:00,39.41,58.85,0,1
DEV-001,2025-01-07 17:00:00,43.1,51.81,0,1
DEV-001,2025-01-07 18:00:00,39.32,54.31,0,1
DEV-001,2025-01-07 19:00:00,41.23,57.56,0,1
DEV-001,2025-01-07 20:00:00,32.56,61.53,0,1
DEV-001,2025-01-07 21:00:00,33.41,56.22,0,1
DEV-001,2025-01-07 22:00:00,36.96,53.84,0,1
DEV-001,2025-01-07 23:00:00,37.78,47.6,0,1
DEV-001,2025-01-08 00:00:00,33.99,60.08,0,1
DEV-001,2025-01-08 01:00:00,41.75,55.91,0,1
DEV-001,2025-01-08 02:00:00,34.84,56.14,0,1
DEV-001,2025-01-08 03:00:00,49.36,57.46,0,1
DEV-001,2025-01-08 04:00:00,45.72,57.77,0,1
DEV-001,2025-01-08 05:00:00,41.75,54.07,0,1
DEV-001,2025-01-08 06:00:00,52.89,64.61,0,1
DEV-001,2025-01-08 07:00:00,45.11,46.73,0,1
DEV-001,2025-01-08 08:00:00,33.71,51.9,0,1
DEV-001,2025-01-08 09:00:00,32.18,55.74,0,1
DEV-001,2025-01-08 10:00:00,45.93,63.42,0,1
DEV-001,2025-01-08 11:00:00,33.12,59.0,0,1
DEV-001,2025-01-08 12:00:00,45.11,61.71,0,1
DEV-001,2025-01-08 13:00:00,35.55,55.67,0,1
DEV-001,2025-01-08 14:00:00,42.12,68.56,0,1
DEV-001,2025-01-08 15:00:00,37.63,59.65,0,1
DEV-001,2025-01-08 16:00:00,34.24,56.58,0,1
DEV-001,2025-01-08 17:00:00,33.35,56.29,0,1
DEV-001,2025-01-08 18:00:00,37.73,54.86,0,1
DEV-001,2025-01-08 19:00:00,39.44,58.59,0,1
DEV-001,2025-01-08 20:00:00,34.61,62.79,0,1
DEV-001,2025-01-08 21:00:00,40.13,60.05,0,1
DEV-001,2025-01-08 22:00:00,29.14,61.73,0,1
DEV-001,2025-01-08 23:00:00,34.67,54.0,0,1
DEV-001,2025-01-09 00:00:00,29.35,59.25,0,1
DEV-001,2025-01-09 01:00:00,29.87,63.0,0,1
DEV-001,2025-01-09 02:00:00,37.16,52.96,0,1
DEV-001,2025-01-09 03:00:00,36.75,56.98,0,1
DEV-001,2025-01-09 04:00:00,42.52,56.13,0,1
DEV-001,2025-01-09 05:00:00,43.02,62.87,0,1
DEV-001,2025-01-09 06:00:00,25.13,55.03,0,1
DEV-001,2025-01-09 07:00:00,38.34,59.46,0,1
DEV-001,2025-01-09 08:00:00,37.92,58.24,0,1
DEV-001,2025-01-09 09:00:00,36.89,59.58,0,1
DEV-001,2025-01-09 10:00:00,35.05,56.85,0,1
DEV-001,2025-01-09 11:00:00,40.21,64.19,0,1
DEV-001,2025-01-09 12:00:00,41.85,57.38,0,1
DEV-001,2025-01-09 13:00:00,36.24,65.52,0,1
DEV-001,2025-01-09 14:00:00,28.14,57.26,0,1
DEV-001,2025-01-09 15:00:00,29.59,59.09,0,1
DEV-001,2025-01-09 16:00:00,41.64,47.96,1,1
DEV-001,2025-01-09 17:00:00,30.1,64.73,0,1
DEV-001,2025-01-09 18:00:00,40.04,65.25,0,1
DEV-001,2025-01-09 19:00:00,38.4,60.26,0,1
DEV-001,2025-01-09 20:00:00,32.03,54.93,0,1
DEV-001,2025-01-09 21:00:00,37.85,56.63,0,1
DEV-001,2025-01-09 22:00:00,35.75,63.16,0,1
DEV-001,2025-01-09 23:00:00,36.14,54.12,0,1
DEV-001,2025-01-10 00:00:00,35.35,56.25,0,1
DEV-001,2025-01-10 01:00:00,41.84,65.79,0,1
DEV-001,2025-01-10 02:00:00,29.33,60.42,0,1
DEV-001,2025-01-10 03:00:00,28.6,66.49,0,1
DEV-001,2025-01-10 04:00:00,38.39,72.23,0,1
DEV-001,2025-01-10 05:00:00,38.04,62.64,0,1
DEV-001,2025-01-10 06:00:00,38.58,61.22,0,1
DEV-001,2025-01-10 07:00:00,46.9,65.74,0,1
DEV-001,2025-01-10 08:00:00,38.41,59.51,1,1
DEV-001,2025-01-10 09:00:00,50.18,61.63,0,1
DEV-001,2025-01-10 10:00:00,36.7,56.88,0,1
DEV-001,2025-01-10 11:00:00,41.75,47.41,1,1
DEV-001,2025-01-10 12:00:00,43.84,54.92,0,1
DEV-001,2025-01-10 13:00:00,36.19,51.5,0,1
DEV-001,2025-01-10 14:00:00,37.46,52.42,0,1
DEV-001,2025-01-10 15:00:00,36.34,62.5,0,1
DEV-001,2025-01-10 16:00:00,32.4,61.6,1,1
DEV-001,2025-01-10 17:00:00,33.5,58.19,1,1
DEV-001,2025-01-10 18:00:00,34.1,59.76,0,1
DEV-001,2025-01-10 19:00:00,38.48,58.29,0,1
DEV-001,2025-01-10 20:00:00,50.34,53.48,0,1
DEV-001,2025-01-10 21:00:00,36.22,66.53,0,1
DEV-001,2025-01-10 22:00:00,27.1,52.81,0,1
DEV-001,2025-01-10 23:00:00,35.78,57.16,0,1
DEV-001,2025-01-11 00:00:00,36.74,61.65,0,1
DEV-001,2025-01-11 01:00:00,31.94,67.78,0,1
DEV-001,2025-01-11 02:00:00,39.92,55.15,0,1
DEV-001,2025-01-11 03:00:00,41.1,53.37,0,1
DEV-001,2025-01-11 04:00:00,37.98,58.36,0,1
DEV-001,2025-01-11 05:00:00,31.38,62.58,0,1
DEV-001,2025-01-11 06:00:00,41.56,54.31,0,1
DEV-001,2025-01-11 07:00:00,35.69,64.81,0,1
DEV-001,2025-01-11 08:00:00,34.2,54.33,0,1
DEV-001,2025-01-11 09:00:00,39.12,52.76,0,1
DEV-001,2025-01-11 10:00:00,31.28,54.93,0,1
DEV-001,2025-01-11 11:00:00,29.71,62.04,0,1
DEV-001,2025-01-11 12:00:00,43.72,48.16,0,1
DEV-001,2025-01-11 13:00:00,38.55,58.53,0,1
DEV-001,2025-01-11 14:00:00,42.35,58.86,0,1
DEV-001,2025-01-11 15:00:00,35.67,58.73,0,1
DEV-001,2025-01-11 16:00:00,48.27,62.38,0,1
DEV-001,2025-01-11 17:00:00,38.35,58.09,1,1
DEV-001,2025-01-11 18:00:00,34.79,55.12,0,1
DEV-001,2025-01-11 19:00:00,29.34,61.77,0,1
DEV-001,2025-01-11 20:00:00,42.64,61.38,0,1
DEV-001,2025-01-11 21:00:00,45.59,66.87,0,1
DEV-001,2025-01-11 22:00:00,28.29,52.62,0,1
DEV-001,2025-01-11 23:00:00,35.75,60.01,0,1
DEV-001,2025-01-12 00:00:00,34.43,51.98,0,1
DEV-001,2025-01-12 01:00:00,44.2,54.6,0,1
DEV-001,2025-01-12 02:00:00,32.74,72.18,0,1
DEV-001,2025-01-12 03:00:00,37.97,59.91,0,1
DEV-001,2025-01-12 04:00:00,34.61,59.62,0,1
DEV-001,2025-01-12 05:00:00,29.04,63.95,0,1
DEV-001,2025-01-12 06:00:00,37.32,67.87,0,1
DEV-001,2025-01-12 07:00:00,29.7,57.01,0,1
DEV-001,2025-01-12 08:00:00,40.65,63.88,0,1
DEV-001,2025-01-12 09:00:00,28.68,64.73,0,1
DEV-001,2025-01-12 10:00:00,37.12,62.12,0,1
DEV-001,2025-01-12 11:00:00,42.81,59.61,0,1
DEV-001,2025-01-12 12:00:00,40.29,64.42,0,1
DEV-001,2025-01-12 13:00:00,35.22,62.18,0,1
DEV-001,2025-01-12 14:00:00,39.64,60.05,0,1
DEV-001,2025-01-12 15:00:00,41.58,59.68,0,1
DEV-001,2025-01-12 16:00:00,32.09,64.28,1,1
DEV-001,2025-01-12 17:00:00,37.29,62.42,0,1
DEV-001,2025-01-12 18:00:00,35.16,63.45,0,1
DEV-001,2025-01-12 19:00:00,37.97,56.7,0,1
DEV-001,2025-01-12 20:00:00,32.28,65.4,0,1
DEV-001,2025-01-12 21:00:00,36.56,56.82,0,1
DEV-001,2025-01-12 22:00:00,34.24,64.23,0,1
DEV-001,2025-01-12 23:00:00,38.83,63.46,0,1
DEV-001,2025-01-13 00:00:00,41.06,59.25,0,1
DEV-001,2025-01-13 01:00:00,34.9,66.06,0,1
DEV-001,2025-01-13 02:00:00,42.09,60.58,1,1
DEV-001,2025-01-13 03:00:00,29.08,50.22,0,1
DEV-001,2025-01-13 04:00:00,35.39,57.61,0,1
DEV-001,2025-01-13 05:00:00,32.46,53.76,0,1
DEV-001,2025-01-13 06:00:00,37.32,60.19,0,1
DEV-001,2025-01-13 07:00:00,32.14,62.43,1,1
DEV-001,2025-01-13 08:00:00,36.66,54.89,0,1
DEV-001,2025-01-13 09:00:00,37.24,62.39,0,1
DEV-001,2025-01-13 10:00:00,43.33,67.12,0,1
DEV-001,2025-01-13 11:00:00,34.3,56.36,0,1
DEV-001,2025-01-13 12:00:00,40.27,55.9,0,1
DEV-001,2025-01-13 13:00:00,44.59,56.16,0,1
DEV-001,2025-01-13 14:00:00,39.21,57.13,0,1
DEV-001,2025-01-13 15:00:00,38.51,51.44,0,1
DEV-001,2025-01-13 16:00:00,33.29,59.84,0,1
DEV-001,2025-01-13 17:00:00,34.43,57.08,0,1
DEV-001,2025-01-13 18:00:00,40.21,64.43,0,1
DEV-001,2025-01-13 19:00:00,36.61,55.02,0,1
DEV-001,2025-01-13 20:00:00,41.91,54.26,0,1
DEV-001,2025-01-13 21:00:00,34.9,60.13,0,1
DEV-001,2025-01-13 22:00:00,20.09,54.66,0,1
DEV-001,2025-01-13 23:00:00,35.04,64.24,0,1
DEV-001,2025-01-14 00:00:00,29.29,61.33,0,1
DEV-001,2025-01-14 01:00:00,40.44,64.56,0,1
DEV-001,2025-01-14 02:00:00,39.52,62.59,0,1
DEV-001,2025-01-14 03:00:00,42.82,64.86,0,1
DEV-001,2025-01-14 04:00:00,34.24,61.42,0,1
DEV-001,2025-01-14 05:00:00,36.66,59.75,0,1
DEV-001,2025-01-14 06:00:00,34.04,61.49,0,1
DEV-001,2025-01-14 07:00:00,37.63,65.41,0,1
DEV-001,2025-01-14 08:00:00,41.58,51.57,1,1
DEV-001,2025-01-14 09:00:00,41.26,52.26,0,1
DEV-001,2025-01-14 10:00:00,35.95,60.11,0,1
DEV-001,2025-01-14 11:00:00,40.18,59.25,0,1
DEV-001,2025-01-14 12:00:00,40.53,59.95,0,1
DEV-001,2025-01-14 13:00:00,38.37,61.06,0,1
DEV-001,2025-01-14 14:00:00,42.86,53.88,0,1
DEV-001,2025-01-14 15:00:00,28.44,63.84,0,1
DEV-001,2025-01-14 16:00:00,34.7,60.9,0,1
DEV-001,2025-01-14 17:00:00,36.84,48.84,0,1
DEV-001,2025-01-14 18:00:00,34.71,68.42,0,1
DEV-001,2025-01-14 19:00:00,31.34,58.13,0,1
DEV-001,2025-01-14 20:00:00,32.38,62.56,0,1
DEV-001,2025-01-14 21:00:00,43.1,65.57,0,1
DEV-001,2025-01-14 22:00:00,40.74,58.52,0,1
DEV-001,2025-01-14 23:00:00,31.35,67.31,0,1
DEV-001,2025-01-15 00:00:00,37.26,60.23,0,1
DEV-001,2025-01-15 01:00:00,33.94,55.67,0,1
DEV-001,2025-01-15 02:00:00,31.23,66.23,0,1
DEV-001,2025-01-15 03:00:00,40.02,58.87,0,1
DEV-001,2025-01-15 04:00:00,39.2,61.3,0,1
DEV-001,2025-01-15 05:00:00,39.79,62.05,0,1
DEV-001,2025-01-15 06:00:00,38.47,62.56,0,1
DEV-001,2025-01-15 07:00:00,32.34,58.77,0,1
DEV-001,2025-01-15 08:00:00,34.11,68.02,0,1
DEV-001,2025-01-15 09:00:00,33.79,58.94,0,1
DEV-001,2025-01-15 10:00:00,41.69,55.75,0,1
DEV-001,2025-01-15 11:00:00,36.11,58.89,0,1
DEV-001,2025-01-15 12:00:00,35.23,46.89,0,1
DEV-001,2025-01-15 13:00:00,42.61,53.55,0,1
DEV-001,2025-01-15 14:00:00,32.66,58.78,0,1
DEV-001,2025-01-15 15:00:00,49.5,58.9,0,1
DEV-001,2025-01-15 16:00:00,36.39,59.15,0,1
DEV-001,2025-01-15 17:00:00,33.11,59.2,0,1
DEV-001,2025-01-15 18:00:00,32.48,57.61,0,1
DEV-001,2025-01-15 19:00:00,42.44,62.13,0,1
DEV-001,2025-01-15 20:00:00,44.49,63.64,0,1
DEV-001,2025-01-15 21:00:00,46.55,60.8,0,1
DEV-001,2025-01-15 22:00:00,41.97,62.19,0,1
DEV-001,2025-01-15 23:00:00,38.06,63.77,0,1
DEV-001,2025-01-16 00:00:00,47.87,55.57,0,1
DEV-001,2025-01-16 01:00:00,35.64,60.04,0,1
DEV-001,2025-01-16 02:00:00,34.23,56.59,0,1
DEV-001,2025-01-16 03:00:00,32.33,56.37,0,1
DEV-001,2025-01-16 04:00:00,37.37,69.73,0,1
DEV-001,2025-01-16 05:00:00,32.82,62.78,2,1
DEV-001,2025-01-16 06:00:00,40.56,53.9,0,1
DEV-001,2025-01-16 07:00:00,42.95,58.46,0,1
DEV-001,2025-01-16 08:00:00,35.07,66.88,0,1
DEV-001,2025-01-16 09:00:00,29.68,69.02,0,1
DEV-001,2025-01-16 10:00:00,42.88,58.82,0,1
DEV-001,2025-01-16 11:00:00,29.33,56.15,0,1
DEV-001,2025-01-16 12:00:00,44.87,65.91,0,1
DEV-001,2025-01-16 13:00:00,39.5,55.59,1,1
DEV-001,2025-01-16 14:00:00,39.11,57.56,0,1
DEV-001,2025-01-16 15:00:00,40.21,57.16,0,1
DEV-001,2025-01-16 16:00:00,26.32,60.19,0,1
DEV-001,2025-01-16 17:00:00,35.68,53.42,1,1
DEV-001,2025-01-16 18:00:00,31.02,64.82,0,1
DEV-001,2025-01-16 19:00:00,29.71,57.65,0,1
DEV-001,2025-01-16 20:00:00,37.87,52.6,0,1
DEV-001,2025-01-16 21:00:00,36.19,65.18,0,1
DEV-001,2025-01-16 22:00:00,44.99,63.27,0,1
DEV-001,2025-01-16 23:00:00,41.73,65.13,0,1
DEV-001,2025-01-17 00:00:00,39.4,61.16,0,1
DEV-001,2025-01-17 01:00:00,35.97,60.91,0,1
DEV-001,2025-01-17 02:00:00,37.13,58.83,0,1
DEV-001,2025-01-17 03:00:00,36.84,53.84,1,1
DEV-001,2025-01-17 04:00:00,34.55,59.06,0,1
DEV-001,2025-01-17 05:00:00,42.07,60.75,0,1
DEV-001,2025-01-17 06:00:00,26.99,73.7,0,1
DEV-001,2025-01-17 07:00:00,43.03,53.81,0,1
DEV-001,2025-01-17 08:00:00,38.87,55.76,0,1
DEV-001,2025-01-17 09:00:00,36.54,60.1,0,1
DEV-001,2025-01-17 10:00:00,37.34,69.03,0,1
DEV-001,2025-01-17 11:00:00,38.5,64.27,0,1
DEV-001,2025-01-17 12:00:00,38.48,61.26,0,1
DEV-001,2025-01-17 13:00:00,40.68,53.3,0,1
DEV-001,2025-01-17 14:00:00,33.63,60.5,0,1
DEV-001,2025-01-17 15:00:00,37.17,60.66,0,1
DEV-001,2025-01-17 16:00:00,39.19,66.19,0,1
DEV-001,2025-01-17 17:00:00,36.27,63.83,0,1
DEV-001,2025-01-17 18:00:00,42.73,61.86,0,1
DEV-001,2025-01-17 19:00:00,36.0,65.89,0,1
DEV-001,2025-01-17 20:00:00,38.09,53.87,0,1
DEV-001,2025-01-17 21:00:00,32.01,51.81,0,1
DEV-001,2025-01-17 22:00:00,33.06,66.78,0,1
DEV-001,2025-01-17 23:00:00,34.3,52.4,0,1
DEV-001,2025-01-18 00:00:00,38.34,55.51,0,1
DEV-001,2025-01-18 01:00:00,34.05,70.28,0,1
DEV-001,2025-01-18 02:00:00,37.79,64.64,0,1
DEV-001,2025-01-18 03:00:00,30.54,50.79,0,1
DEV-001,2025-01-18 04:00:00,49.13,62.64,0,1
DEV-001,2025-01-18 05:00:00,40.46,63.28,1,1
DEV-001,2025-01-18 06:00:00,41.29,60.42,0,1
DEV-001,2025-01-18 07:00:00,36.55,61.78,0,1
DEV-001,2025-01-18 08:00:00,29.03,58.52,0,1
DEV-001,2025-01-18 09:00:00,42.35,55.93,0,1
DEV-001,2025-01-18 10:00:00,42.08,51.16,0,1
DEV-001,2025-01-18 11:00:00,34.47,51.08,0,1
DEV-001,2025-01-18 12:00:00,40.24,54.17,0,1
DEV-001,2025-01-18 13:00:00,46.72,60.13,0,1
DEV-001,2025-01-18 14:00:00,29.53,61.22,1,1
DEV-001,2025-01-18 15:00:00,38.61,65.83,0,1
DEV-001,2025-01-18 16:00:00,39.85,59.71,0,1
DEV-001,2025-01-18 17:00:00,37.74,59.22,0,1
DEV-001,2025-01-18 18:00:00,39.99,52.53,0,1
DEV-001,2025-01-18 19:00:00,31.27,55.55,0,1
DEV-001,2025-01-18 20:00:00,41.51,56.21,0,1
DEV-001,2025-01-18 21:00:00,34.12,60.41,0,1
DEV-001,2025-01-18 22:00:00,48.6,52.83,0,1
DEV-001,2025-01-18 23:00:00,40.66,61.08,0,1
DEV-001,2025-01-19 00:00:00,43.61,67.13,0,1
DEV-001,2025-01-19 01:00:00,34.7,52.17,0,1
DEV-001,2025-01-19 02:00:00,39.06,59.0,0,1
DEV-001,2025-01-19 03:00:00,33.47,67.21,0,1
DEV-001,2025-01-19 04:00:00,42.37,64.53,1,1
DEV-001,2025-01-19 05:00:00,39.0,56.34,0,1
DEV-001,2025-01-19 06:00:00,35.6,58.0,0,1
DEV-001,2025-01-19 07:00:00,31.99,55.46,0,1
DEV-001,2025-01-19 08:00:00,37.66,55.16,0,1
DEV-001,2025-01-19 09:00:00,34.38,62.52,0,1
DEV-001,2025-01-19 10:00:00,39.15,63.18,0,1
DEV-001,2025-01-19 11:00:00,31.63,52.85,0,1
DEV-001,2025-01-19 12:00:00,45.85,61.11,0,1
DEV-001,2025-01-19 13:00:00,37.97,55.61,1,1
DEV-001,2025-01-19 14:00:00,32.54,62.16,0,1
DEV-001,2025-01-19 15:00:00,36.93,54.49,0,1
DEV-001,2025-01-19 16:00:00,44.06,52.94,0,1
